"Car_brand","Car_model","Mileage","Year","Transmission","Location","Fuel","Engine_Size (cc)","Price (£)","Car Type"
"Peugeot","208",10732,"2022","Manual","West Midlands","Petrol",1200,12955,NA
"Peugeot","5008",44000,"2020","Manual","Manchester","Diesel",1500,16861,"Suv"
"Peugeot","2008",18374,"2023","Automatic","Surrey","Petrol",1200,18651,NA
"Peugeot","2008",22422,"2022","Manual","West Midlands","Petrol",1200,15696,NA
"Peugeot","3008",6148,"2024","Automatic","Essex","Hybrid",1200,23620,NA
"Peugeot","2008",20923,"2022","Automatic","West Midlands","Petrol",1200,16386,NA
"Peugeot","2008",17752,"2023","Automatic","Kent","Petrol",1200,18797,NA
"Peugeot","2008",16360,"2023","Automatic","Kent","Petrol",1200,18950,NA
"Polestar","2 Dual Motor Long Range Fastback 4WDE",30358,"2022","≈ 591 miles","Hampshire","Electric",0,21733,"Fastback"
"Audi","e-tron 50 Technik quattro Charger)",32749,"2021","≈ 341 miles","West Midlands","Electric",0,19342,NA
"BMW","i3",21965,"2020","Automatic","Manchester","Electric",0,13673,NA
"Jaguar","I-Pace 400 HSE 4WD",32784,"2020","≈ 470 miles","Hampshire","Electric",0,20959,NA
"BMW","X1 M Sport",19992,"2023","Automatic","Somerset","Hybrid",1500,35998,NA
"Fiat","500e Icon",17130,"2022","≈ 314 miles","West Midlands","Electric",0,12599,NA
"Kia","e-Niro 4+",39426,"2022","≈ 463 miles","Hampshire","Electric",0,18111,NA
"Mercedes","EQC400 Eqc AMG Line (Premium) 4MATIC",27996,"2022","≈ 411 miles","Manchester","Electric",0,29036,NA
"VW","Arteon",25326,"2021","Automatic","Lincolnshire","Diesel",2000,23999,NA
"Kia","e-Niro 2",42508,"2022","≈ 455 miles","Manchester","Electric",0,14508,NA
"Audi","e-tron 50 Black Edition quattro Charger)",21698,"2021","≈ 341 miles","Hampshire","Electric",0,27420,NA
"Kia","e-Niro 4+",83430,"2021","≈ 463 miles","Shropshire","Electric",0,13185,NA
"Nissan","Qashqai",7590,"2024","Manual","Hampshire","Hybrid",1300,18216,NA
"Kia","EV6 GT-Line AWD",35497,"2022","≈ 506 miles","Hampshire","Electric",0,25556,NA
"Mercedes","GLA200 GLASport Executive",25268,"2023","Automatic","Hampshire","Petrol",1300,26670,NA
"BMW","X1 20i [178] Sport Step",25544,"2021","Automatic","Hertfordshire","Petrol",2000,21490,NA
"Skoda","Kamiq",10001,"2023","Automatic","Essex","Petrol",1000,16971,NA
"Audi","Q2 35 TFSI Sport S Tronic",28886,"2019","Automatic","Suffolk","Petrol",1500,16888,NA
"BMW","X1 18d SE Step",31414,"2020","Automatic","Hampshire","Diesel",2000,17369,NA
"VW","Tiguan Allspace",52023,"2020","Automatic","Surrey","Diesel",2000,19094,NA
"Ford","Kuga",12207,"2020","Automatic","Surrey","Diesel",2000,20113,NA
"Mercedes","GLC220 GLC4Matic Sport 9G-Tronic",44662,"2020","Automatic","Durham","Diesel",2000,22219,NA
"Tesla","Model 3 Standard Range Plus RWD",27529,"2019","≈ 409 miles","Durham","Electric",0,16012,NA
"BMW","520 5 Series i MHT SE Step",53887,"2021","Automatic","Staffordshire","Hybrid",2000,19520,NA
"BMW","330e 3 SeriesM Sport Step",5961,"2024","Automatic","Hampshire","Hybrid",2000,34829,NA
"Jaguar","XE",30617,"2019","Automatic","Durham","Petrol",2000,18457,NA
"Audi","RS e-tron GT Quattro",16118,"2022","≈ 472 miles","Hampshire","Electric",0,56990,NA
"BMW","X1 20i [178] xLine Step",22784,"2021","Automatic","Nottinghamshire","Petrol",2000,21352,NA
"Kia","Ceed",20491,"2023","Manual","Northamptonshire","Diesel",1500,15095,NA
"BMW","i5 M Sport Saloon",3966,"2023","≈ 560 miles","Lincolnshire","Electric",0,40946,"Saloon"
"Audi","Q7 50 TDI Quattro Black Edition Tiptronic",46521,"2020","Automatic","Hampshire","Diesel",3000,37990,NA
"Audi","RS4 RS4TFSI Quattro Nogaro Edition S Tronic",37940,"2021","Automatic","Berkshire","Petrol",2900,50000,NA
"Audi","A6 40 TDI Sport S Tronic",35385,"2019","Automatic","Hampshire","Diesel",2000,17948,NA
"Audi","RS e-tron GT Quattro Carbon Black",10893,"2022","≈ 472 miles","London","Electric",0,62000,NA
"Dacia","Sandero",26134,"2021","Manual","Lincolnshire","Petrol",1000,9382,NA
"Skoda","Kodiaq ŠkodaSe Tsi S-a",16734,"2023","Automatic","London","Petrol",1500,25990,NA
"Land Rover","Range Rover Sport",33750,"2020","Automatic","Suffolk","Diesel",3000,37440,NA
"Skoda","Kodiaq SE L Executive (7 seats)",4875,"2024","Automatic","London","Petrol",1500,29850,NA
"Audi","RS e-tron GT Quattro Carbon Vorsprung",7432,"2022","≈ 472 miles","Surrey","Electric",0,62990,NA
"VW","Caddy Maxi",42984,"2023","Manual","Staffordshire","Diesel",2000,21590,"Van"
"Land Rover","Range Rover evoque",12236,"2022","Automatic","Bedfordshire","Diesel",2000,29991,NA
"Nissan","Qashqai",14256,"2022","Manual","Lincolnshire","Hybrid",1300,15279,NA
